r01 : 정문, 108계단
r02 : 정문, 차고지
r03 : 정문, 체대
r04 : 정문, 농구장
r05 : 108계단, s01
r06 : 108계단, 체대
r07 : 차고지, s01
r08 : 체대, s01
r09 : 체대, 삼각지
r10 : 체대, 농구장
r11 : s01, s02
r12 : 농구장, 도서관
r13 : 농구장, 체대2
r14 : s02, s03
r15 : s03, s04
r16 : s03, 도서관
r17 : s03, 야외정원
r18 : s04, s05
r19 : s04, 야외정원
r20 : s04, s06지하
r21 : s05, s06
r22 : 도서관, 체대2
r23 : 도서관, s11
r24 : s11, s12
r25 : s11, bs04
r26 : bs04, s04
r27 : bs04, s12
r28 : s12 1층, s05
r29 : s12 4층, s05
r30 : s12 4층, s06
r31 : s12 4층, 체대2
